region,brigada,comment
Nukus city,РСБ 01,центр
Nukus city,РСБ 02,центр
Nukus city,РСБ 03,центр
Nukus city,ПСБ 04,центр
Nukus city,ПСБ 05,центр
Nukus city,ОПВ 06,центр
Nukus city,ОПВ 07,центр
Nukus city,ОПФ 08,центр
Nukus city,ОПВ 09,центр
Nukus city,ОПВ 10,центр
Nukus city,ОПФ 11,центр
Nukus city,ОПВ 12,центр
Nukus city,ОПВ 13,центр
Nukus city,ОПВ 14,центр
Nukus city,ОПВ 15,центр
Nukus city,ОПВ 16,центр
Nukus city,ОПФ 17,центр
Nukus city,ОПВ 28,центр
Nukus city,ОПФ 29,центр
Nukus city,ОПВ # 95.01.18,подстанция
Nukus city,ОПВ #95.01.19,подстанция
Nukus city,ОПВ #95.01.20,подстанция
Nukus city,ОПВ #95.01.21,подстанция
Nukus city,ОПВ #95.01.22,подстанция
Nukus city,ОПВ #95.01.23,подстанция
Nukus city,ОПВ #95.01.24,подстанция
Nukus city,ОПВ #95.01.25,подстанция
Nukus city,ОПФ #95.01.26,подстанция
Nukus city,ОПФ #95.01.27,подстанция
Нукус район,ОПВ #95.02.01,район
Нукус район,ОПВ #95.02.02,район
Нукус район,ОПВ #95.02.03,район
Нукус район,ОПВ #95.02.04,район
Элликкала,ОПВ # 95.15.01,район
Элликкала,ОПФ # 95.15.02,район
Элликкала,СПЕЦ # 95.15.03,район
Элликкала,ОПФ # 95.15.04,район
Элликкала,ОПВ # 95.15.05,район
Элликкала,ОПВ # 95.15.06,район
Элликкала,ОПФ # 95.15.07,район
Элликкала,ОПВ # 95.15.08,район
Элликкала,ОПВ # 95.15.09,район
Элликкала,ОПВ # 95.15.10,район
Элликкала,ОПВ # 95.15.11,район
Элликкала,ОПВ # 95.15.12,район
Элликкала,ПСБ # 95.15.13,район
Элликкала,ОПБ # 95.15.14,район
Ходжейли,ОПВ #95.04.01,район
Ходжейли,СПЕЦ #95.04.02,район
Ходжейли,ОПВ #95.04.03,район
Ходжейли,ОПВ #95.04.04,район
Ходжейли,ОПФ #95.04.05,район
Ходжейли,ОПВ #95.04.06,район
Ходжейли,ОПВ #95.04.07,район
Ходжейли,ОПФ #95.04.08,район
Ходжейли,ОПВ #95.04.09,район
Ходжейли,ОПВ #95.04.10,район
Бозатау,Бригада №1,район
Бозатау,Бригада №2,район
Бозатау,Бригада №3,район
Тахиаташ,ОПВ #95.18.01,район
Тахиаташ,ОПВ #95.18.02,район
Тахиаташ,ОПВ # 95.18.03,район
Тахиаташ,ОПВ # 95.18.04,район
Тахиаташ,ОПФ # 95.18.05,район
Тахиаташ,ОПВ #95.18.06,район
Тахтакупир,ОПВ #95.09.01,район
Тахтакупир,ОПФ№95.09.02,район
Тахтакупир,ОПВ #95.09.03,район
Тахтакупир,ОПВ #95.09.04,район
Шымбай,ОПф # 95.07.01,район
Шымбай,ОПВ # 95.07.02,район
Шымбай,ОПВ # 95.07.03,район
Шымбай,ОПВ # 95.07.04,район
Шымбай,ОПВ # 95.07.05,район
Шымбай,ОПВ # 95.07.06,район
Шымбай,ОПВ # 95.07.07,район
Шымбай,РСБ # 95.07.08,район
Шымбай,ОПФ # 95.07.09,район
Шоманай,ОПВ # 95.11.01,район
Шоманай,ОПВ # 95.11.02,район
Шоманай,ОПВ # 95.11.03,район
Шоманай,ОПВ # 95.11.04,район
Шоманай,ОПФ # 95.11.05,район
Беруний,СПЕЦ #95.16.01,район
Беруний,ОПВ #95.16.02,район
Беруний,ОПВ #95.16.03,район
Беруний,ОПВ #95.16.04,район
Беруний,ОПВ #95.16.05,район
Беруний,ОПВ #95.16.06,район
Беруний,ОПВ #95.16.07,район
Беруний,ОПВ #95.16.08,район
Беруний,ОПВ #95.16.09,район
Беруний,ОПВ #95.16.10,район
Беруний,ОПВ #95.16.11,район
